STN---,WBAN , YEARMODA,   TEMP,  ,   DEWP,  ,  SLP  ,  ,  STP  ,  , VISIB,  ,  WDSP,  , MXSPD,  GUST,   MAX  ,  MIN  ,PRCP  ,SNDP , FRSHTT,
637080,99999, 19800322,   79.6, 7,   55.4, 6, 9999.9, 0, 9999.9, 0,  20.0, 7,   4.6, 7,   8.0, 999.9,   93.2 ,  60.8 , 0.00G,999.9, 000000,
637080,99999, 19800324,   75.5, 6,   58.6, 5, 9999.9, 0, 9999.9, 0,  23.8, 6,   5.1, 6,   9.9, 999.9,   91.4 ,  64.4*, 0.00C,999.9, 000000,
637080,99999, 19800325,   75.9, 5,   56.8, 5, 9999.9, 0, 9999.9, 0,  27.3, 5,   4.6, 5,   7.0, 999.9,   95.0 ,  62.6 , 0.00G,999.9, 000000,
637080,99999, 19800327,   79.7, 4,   61.7, 4, 9999.9, 0, 9999.9, 0,  24.1, 4,   8.7, 4,  15.9, 999.9,   87.8 ,  73.4*, 0.00B,999.9, 010010,
637080,99999, 19800328,   77.9, 8,   62.2, 8, 9999.9, 0, 9999.9, 0,  19.5, 8,   5.3, 8,  11.1, 999.9,   87.8 ,  66.2 , 0.08G,999.9, 000000,
637080,99999, 19800329,   72.7, 5,   64.8, 5, 9999.9, 0, 9999.9, 0,  15.5, 5,   4.6, 5,   8.0, 999.9,   84.2 ,  68.0 , 0.00G,999.9, 000010,
637080,99999, 19800330,   70.2, 5,   65.5, 5, 9999.9, 0, 9999.9, 0,  19.9, 5,   4.2, 5,   8.0, 999.9,   86.0 ,  66.2*, 1.10A,999.9, 010010,
637080,99999, 19800331,   73.4, 4,   65.8, 4, 9999.9, 0, 9999.9, 0,  21.7, 4,   4.8, 4,   9.9, 999.9,   78.8*,  66.2 , 0.04B,999.9, 000000,
637080,99999, 19800401,   74.3, 6,   65.3, 6, 9999.9, 0, 9999.9, 0,  23.8, 6,   4.7, 6,   7.0, 999.9,   87.8 ,  66.2*, 0.00B,999.9, 000000,
637080,99999, 19800402,   69.8, 4,   65.3, 4, 9999.9, 0, 9999.9, 0,  22.5, 4,   2.5, 4,   4.1, 999.9,   87.8 ,  66.2 , 0.00G,999.9, 000000,
637080,99999, 19800403,   79.2, 5,   60.8, 4, 9999.9, 0, 9999.9, 0,  23.0, 5,   9.8, 5,  15.0, 999.9,   89.6 ,  64.4 , 0.00G,999.9, 000000,
637080,99999, 19800404,   75.5, 7,   62.9, 7, 9999.9, 0, 9999.9, 0,  21.3, 7,   7.0, 7,  15.9, 999.9,   87.8*,  64.4 , 0.00G,999.9, 001000,
637080,99999, 19800408,   71.6, 4, 9999.9, 0, 9999.9, 0, 9999.9, 0,  19.4, 4,   5.0, 4,   9.9, 999.9,   84.2 ,  64.4 , 0.98G,999.9, 010010,
637080,99999, 19800409,   73.9, 4,   64.4, 4, 9999.9, 0, 9999.9, 0,  23.3, 4,   6.2, 4,   9.9, 999.9,   82.4*,  66.2*, 0.00G,999.9, 010010,
637080,99999, 19800411,   73.0, 5,   64.0, 5, 9999.9, 0, 9999.9, 0,  24.2, 5,   7.2, 5,  20.0, 999.9,   80.6*,  64.4 , 0.04G,999.9, 000010,
637080,99999, 19800412,   75.2, 5,   64.4, 5, 9999.9, 0, 9999.9, 0,  23.0, 5,   5.2, 5,   8.0, 999.9,   84.2*,  64.4*, 0.00G,999.9, 000000,
637080,99999, 19800413,   72.3, 5,   65.8, 5, 9999.9, 0, 9999.9, 0,  21.1, 5,   8.8, 4,  15.0, 999.9,   82.4 ,  60.8 , 1.26G,999.9, 010010,
637080,99999, 19800414,   69.8, 5,   64.8, 4, 9999.9, 0, 9999.9, 0,  18.6, 5,   3.8, 5,  12.0, 999.9,   80.6 ,  66.2*, 0.00G,999.9, 010010,
637080,99999, 19800415,   71.6, 6,   65.0, 6, 9999.9, 0, 9999.9, 0,  21.2, 6,   2.8, 6,   5.1, 999.9,   80.6 ,  64.4 , 0.16G,999.9, 010010,
637080,99999, 19800417,   75.2, 4,   66.2, 4, 9999.9, 0, 9999.9, 0,  23.3, 4,   6.8, 4,  13.0, 999.9,   80.6*,  66.2*, 0.00A,999.9, 000000,
637080,99999, 19800418,   73.0, 5,   64.4, 5, 9999.9, 0, 9999.9, 0,  21.7, 5,   4.0, 5,   7.0, 999.9,   80.6 ,  64.4 , 0.24G,999.9, 000000,
637080,99999, 19800419,   72.3, 5,   65.5, 5, 9999.9, 0, 9999.9, 0,  22.4, 5,   7.0, 5,   9.9, 999.9,   82.4 ,  66.2*, 0.00G,999.9, 010010,
